obra,entidad_norm,tipo,frecuencia
CELC_MVLL,ambrosio,PER,798
CELC_MVLL,santiago,PER,776
CELC_MVLL,amalia,PER,621
CELC_MVLL,queta,PER,407
CELC_MVLL,zavalita,PER,376
CELC_MVLL,cayo,PER,336
CELC_MVLL,ludovico,PER,321
CELC_MVLL,fermín,PER,285
CELC_MVLL,carlitos,PER,271
CELC_MVLL,chispas,PER,234
CELC_MVLL,bermúdez,PER,227
CELC_MVLL,lozano,PER,197
CELC_MVLL,don,PER,196
CELC_MVLL,teté,PER,174
CELC_MVLL,trifulcio,PER,173
CELC_MVLL,popeye,PER,172
CELC_MVLL,aída,PER,149
CELC_MVLL,becerrita,PER,130
CELC_MVLL,ana,PER,127
CELC_MVLL,hipólito,PER,124
CELC_MVLL,espina,PER,111
CELC_MVLL,jacobo,PER,108
CELC_MVLL,lima,LOC,107
CELC_MVLL,hortensia,PER,106
CELC_MVLL,landa,PER,106
CELC_MVLL,odría,PER,101
CELC_MVLL,presidente,PER,100
CELC_MVLL,paredes,PER,93
CELC_MVLL,trinidad,PER,91
CELC_MVLL,washington,PER,79
CELC_MVLL,carlota,PER,77
CELC_MVLL,zoila,PER,73
CELC_MVLL,ivonne,PER,69
CELC_MVLL,molina,PER,69
CELC_MVLL,periquito,PER,66
CELC_MVLL,robertito,PER,64
CELC_MVLL,cayo bermúdez,PER,59
CELC_MVLL,arequipa,LOC,58
CELC_MVLL,gertrudis,PER,57
CELC_MVLL,quetita,PER,57
CELC_MVLL,alcibíades,PER,52
CELC_MVLL,téllez,PER,50
CELC_MVLL,perú,LOC,49
CELC_MVLL,pucallpa,LOC,49
CELC_MVLL,símula,PER,48
CELC_MVLL,héctor,PER,47
CELC_MVLL,hilario,PER,46
CELC_MVLL,norwin,PER,46
CELC_MVLL,san marcos,LOC,46
CELC_MVLL,arispe,PER,45
CELC_MVLL,solórzano,PER,45
CELC_MVLL,don fermín,PER,44
CELC_MVLL,la crónica,ORG,44
CELC_MVLL,teniente,PER,41
CELC_MVLL,arévalo,PER,39
CELC_MVLL,coalición,ORG,39
CELC_MVLL,serrano,PER,39
CELC_MVLL,arbeláez,PER,38
CELC_MVLL,llerena,PER,38
CELC_MVLL,malvina,PER,38
CELC_MVLL,urondo,PER,38
CELC_MVLL,chincha,LOC,37
CELC_MVLL,musa,PER,37
CELC_MVLL,doña lupe,PER,36
CELC_MVLL,general,PER,36
CELC_MVLL,martínez,PER,36
CELC_MVLL,buitre,PER,34
CELC_MVLL,emilio,PER,32
CELC_MVLL,tío clodomiro,PER,32
CELC_MVLL,amalita hortensia,PER,29
CELC_MVLL,cayo mierda,PER,28
CELC_MVLL,prefecto,PER,28
CELC_MVLL,don hilario,PER,27
CELC_MVLL,ejército,ORG,27
CELC_MVLL,llaque,PER,27
CELC_MVLL,san miguel,LOC,27
CELC_MVLL,clodomiro,PER,26
CELC_MVLL,lama,PER,26
CELC_MVLL,ministerio,ORG,26
CELC_MVLL,ministro,PER,26
CELC_MVLL,miraflores,LOC,26
CELC_MVLL,rosa,PER,26
CELC_MVLL,zavala,PER,26
CELC_MVLL,ferro,PER,25
CELC_MVLL,rosario,PER,25
CELC_MVLL,ancón,LOC,24
CELC_MVLL,dios,MISC,24
CELC_MVLL,universidad,ORG,24
CELC_MVLL,apra,ORG,23
CELC_MVLL,batuque,PER,23
CELC_MVLL,ica,LOC,23
CELC_MVLL,vallejo,PER,23
CELC_MVLL,cary,PER,22
CELC_MVLL,emilio arévalo,PER,22
CELC_MVLL,lucía,PER,22
CELC_MVLL,bola de oro,PER,21
CELC_MVLL,darío,PER,21
CELC_MVLL,lucas,PER,21
CELC_MVLL,calancha,PER,20
CELC_MVLL,federación,ORG,20
CELC_MVLL,paqueta,PER,20
CELC_MVLL,partido,ORG,20
CELC_MVLL,plaza,LOC,20
CELC_MVLL,prefectura,ORG,20
CELC_MVLL,ruperto,PER,20
CELC_MVLL,melquíades,PER,19
CELC_MVLL,tomasa,PER,19
CELC_MVLL,túmula,PER,19
CELC_MVLL,palacio,LOC,18
CELC_MVLL,plaza de armas,LOC,18
CELC_MVLL,china,PER,17
CELC_MVLL,doctor,PER,17
CELC_MVLL,tallio,PER,17
CELC_MVLL,colmena,LOC,16
CELC_MVLL,fracción,ORG,16
CELC_MVLL,tingo maría,LOC,16
CELC_MVLL,cajamarca,LOC,15
CELC_MVLL,chamorro,PER,15
CELC_MVLL,la crónica,LOC,15
CELC_MVLL,madama,PER,15
CELC_MVLL,san marcos,MISC,15
CELC_MVLL,don cayo,PER,14
CELC_MVLL,lora,PER,14
CELC_MVLL,lupe,PER,14
CELC_MVLL,mirones,LOC,14
CELC_MVLL,montagne,PER,14
CELC_MVLL,pantaleón,PER,14
CELC_MVLL,plaza san martín,LOC,14
CELC_MVLL,anita,PER,13
CELC_MVLL,bustamante,PER,13
CELC_MVLL,derecho,MISC,13
CELC_MVLL,lucy,PER,13
CELC_MVLL,mayor,PER,13
CELC_MVLL,méxico,LOC,13
CELC_MVLL,pancras,PER,13
CELC_MVLL,saldívar,PER,13
CELC_MVLL,heredia,PER,12
CELC_MVLL,la prensa,ORG,12
CELC_MVLL,pereda,PER,12
CELC_MVLL,rita,PER,12
CELC_MVLL,ada rosa,PER,11
CELC_MVLL,ansa,ORG,11
CELC_MVLL,barranco,LOC,11
CELC_MVLL,católica,ORG,11
CELC_MVLL,china,ORG,11
CELC_MVLL,gertrudis lama,PER,11
CELC_MVLL,ministro,MISC,11
CELC_MVLL,remigio saldívar,PER,11
CELC_MVLL,rímac,LOC,11
CELC_MVLL,trinidad lópez,PER,11
CELC_MVLL,trujillo,LOC,11
CELC_MVLL,amalita,PER,10
CELC_MVLL,bim bam búm,MISC,10
CELC_MVLL,cahuide,PER,10
CELC_MVLL,embajador,PER,10
CELC_MVLL,ferrito,PER,10
CELC_MVLL,gobierno,ORG,10
CELC_MVLL,la catedral,LOC,10
CELC_MVLL,richard,PER,10
CELC_MVLL,san marcos,ORG,10
CELC_MVLL,alvarado,PER,9
CELC_MVLL,becerra,PER,9
CELC_MVLL,casita de san miguel,LOC,9
CELC_MVLL,chaclacayo,LOC,9
CELC_MVLL,leoncio paniagua,PER,9
CELC_MVLL,limoncillo,LOC,9
CELC_MVLL,ludovico pantoja,PER,9
CELC_MVLL,mercado,LOC,9
CELC_MVLL,parque universitario,LOC,9
CELC_MVLL,politzer,PER,9
CELC_MVLL,polla,MISC,9
CELC_MVLL,ataúdes limbo,MISC,8
CELC_MVLL,bar,LOC,8
CELC_MVLL,cuzco,LOC,8
CELC_MVLL,la crónica,MISC,8
CELC_MVLL,partido restaurador,ORG,8
CELC_MVLL,pedro flores,PER,8
CELC_MVLL,peralta,PER,8
CELC_MVLL,revolución,MISC,8
CELC_MVLL,señora zoila,PER,8
CELC_MVLL,surquillo,LOC,8
CELC_MVLL,tijero,PER,8
CELC_MVLL,atanasio,PER,7
CELC_MVLL,bolivia,LOC,7
CELC_MVLL,cahuide,LOC,7
CELC_MVLL,chorrillos,LOC,7
CELC_MVLL,coca-colas,MISC,7
CELC_MVLL,comité,ORG,7
CELC_MVLL,embajada,ORG,7
CELC_MVLL,inocencia,PER,7
CELC_MVLL,jesús maría,LOC,7
CELC_MVLL,malecón,LOC,7
CELC_MVLL,martha,PER,7
CELC_MVLL,maternidad,MISC,7
CELC_MVLL,ministro de guerra,PER,7
CELC_MVLL,porvenir,MISC,7
CELC_MVLL,tío,PER,7
CELC_MVLL,zavalita,LOC,7
CELC_MVLL,zoilita,PER,7
CELC_MVLL,ave,PER,6
CELC_MVLL,avenida brasil,LOC,6
CELC_MVLL,batuque,MISC,6
CELC_MVLL,cahuide,ORG,6
CELC_MVLL,camino,PER,6
CELC_MVLL,centros federados,ORG,6
CELC_MVLL,chiclayo,LOC,6
CELC_MVLL,club nacional,ORG,6
CELC_MVLL,comité de recepción,ORG,6
CELC_MVLL,estado,ORG,6
CELC_MVLL,haya de la torre,PER,6
CELC_MVLL,hinostroza,PER,6
CELC_MVLL,libertad,MISC,6
CELC_MVLL,matías,PER,6
CELC_MVLL,melequías,PER,6
CELC_MVLL,ministro de gobierno,PER,6
CELC_MVLL,municipalidad,ORG,6
