obra,entidad_norm,frecuencia,score_promedio,bloques_distintos
CELC_MVLL,lima,107,0.9998,77
CELC_MVLL,arequipa,58,0.9982,31
CELC_MVLL,perú,49,0.9997,39
CELC_MVLL,pucallpa,49,0.9909,27
CELC_MVLL,san marcos,46,0.9704,26
CELC_MVLL,chincha,37,0.9994,20
CELC_MVLL,san miguel,27,0.993,25
CELC_MVLL,miraflores,26,0.9998,25
CELC_MVLL,ancón,24,0.983,11
CELC_MVLL,ica,23,0.9996,17
CELC_MVLL,plaza,20,0.9438,13
CELC_MVLL,palacio,18,0.999,11
CELC_MVLL,plaza de armas,18,0.9999,18
CELC_MVLL,colmena,16,0.9612,16
CELC_MVLL,tingo maría,16,0.9999,10
CELC_MVLL,cajamarca,15,0.9889,9
CELC_MVLL,la crónica,15,0.9842,15
CELC_MVLL,mirones,14,0.9793,11
CELC_MVLL,plaza san martín,14,0.9999,13
CELC_MVLL,méxico,13,0.9999,9
CELC_MVLL,barranco,11,0.9989,11
CELC_MVLL,rímac,11,0.9975,11
CELC_MVLL,trujillo,11,0.9999,6
CELC_MVLL,la catedral,10,0.9436,7
CELC_MVLL,casita de san miguel,9,0.9784,8
CELC_MVLL,chaclacayo,9,0.9927,7
CELC_MVLL,limoncillo,9,0.9964,7
CELC_MVLL,mercado,9,0.9337,5
CELC_MVLL,parque universitario,9,0.9999,7
CELC_MVLL,bar,8,0.8223,5
CELC_MVLL,cuzco,8,0.985,6
CELC_MVLL,surquillo,8,0.9998,5
CELC_MVLL,bolivia,7,0.9999,7
CELC_MVLL,cahuide,7,0.9885,5
CELC_MVLL,chorrillos,7,0.998,6
CELC_MVLL,jesús maría,7,0.9446,6
CELC_MVLL,malecón,7,0.9997,6
CELC_MVLL,zavalita,7,0.9504,5
CELC_MVLL,avenida brasil,6,0.9998,6
CELC_MVLL,chiclayo,6,0.9999,4
CELC_MVLL,odría,6,0.8788,6
CELC_MVLL,agua dulce,5,0.9999,3
CELC_MVLL,avenida arequipa,5,0.9994,5
CELC_MVLL,avenida argentina,5,0.9999,5
CELC_MVLL,callao,5,0.9995,5
CELC_MVLL,calle comercio,5,0.9985,5
CELC_MVLL,españa,5,1.0,2
CELC_MVLL,grocio prado,5,0.9912,5
CELC_MVLL,la maison de santé,5,0.9502,5
CELC_MVLL,larco,5,0.9975,4
CELC_MVLL,monmartre,5,0.7167,5
CELC_MVLL,paseo colón,5,0.9998,4
CELC_MVLL,petit thouars,5,0.9997,5
CELC_MVLL,portal,5,0.9528,4
CELC_MVLL,puente del ejército,5,0.9999,4
CELC_MVLL,regatas,5,0.9133,3
CELC_MVLL,santiago,5,0.9853,5
CELC_MVLL,teatro municipal,5,0.949,4
CELC_MVLL,tumbes,5,0.9999,4
CELC_MVLL,universidad,5,0.8168,4
CELC_MVLL,yarinacocha,5,0.9998,4
CELC_MVLL,alfonso ugarte,4,0.98,4
CELC_MVLL,avenida tacna,4,0.9997,4
CELC_MVLL,bar zela,4,0.9997,3
CELC_MVLL,buenos aires,4,0.9999,3
CELC_MVLL,camaná,4,0.9999,3
CELC_MVLL,europa,4,1.0,2
CELC_MVLL,guatemala,4,0.9989,2
CELC_MVLL,hospital,4,0.9043,3
CELC_MVLL,huacachina,4,0.9998,4
CELC_MVLL,huánuco,4,0.9999,4
CELC_MVLL,la laguna,4,0.9319,2
CELC_MVLL,luna park,4,0.988,1
CELC_MVLL,magdalena,4,0.9999,4
CELC_MVLL,maternidad,4,0.8128,2
CELC_MVLL,municipal,4,0.8412,1
CELC_MVLL,plaza bolognesi,4,0.9998,4
CELC_MVLL,plaza dos de mayo,4,0.9999,4
CELC_MVLL,plaza italia,4,0.9999,3
CELC_MVLL,porta,4,0.9988,4
CELC_MVLL,porvenir,4,0.8876,1
CELC_MVLL,puno,4,0.9999,2
CELC_MVLL,quinta,4,0.9943,3
CELC_MVLL,rueda chicago,4,0.9995,3
CELC_MVLL,san martín,4,0.9998,3
CELC_MVLL,tingo,4,0.9994,3
CELC_MVLL,trinidad,4,0.9958,2
CELC_MVLL,acho,3,0.966,1
CELC_MVLL,azángaro,3,0.9636,3
CELC_MVLL,barrios altos,3,0.9998,3
CELC_MVLL,bertoloto,3,0.822,3
CELC_MVLL,brasil,3,0.9994,3
CELC_MVLL,calle chiclayo,3,0.9998,3
CELC_MVLL,cayo,3,0.9963,2
CELC_MVLL,chacra colorada,3,0.9997,3
CELC_MVLL,china,3,0.7722,3
CELC_MVLL,club,3,0.9355,3
CELC_MVLL,cream rica,3,0.9542,2
CELC_MVLL,el palermo,3,0.941,3
CELC_MVLL,estadio,3,0.9879,3
CELC_MVLL,estados unidos,3,0.9877,3
CELC_MVLL,herradura,3,0.965,2
CELC_MVLL,hospital militar,3,0.9998,3
CELC_MVLL,huacho,3,0.9995,2
CELC_MVLL,jirón de la unión,3,0.9999,3
CELC_MVLL,moscú,3,0.9999,3
CELC_MVLL,negro negro,3,0.7869,3
CELC_MVLL,nueva york,3,1.0,3
CELC_MVLL,pacasmayo,3,0.9996,3
CELC_MVLL,padre jerónimo,3,0.9999,3
CELC_MVLL,palacio de justicia,3,0.9884,3
CELC_MVLL,paracas,3,1.0,2
CELC_MVLL,pasamayo,3,0.9998,1
CELC_MVLL,san juan de dios,3,0.9998,3
CELC_MVLL,santa beatriz,3,0.9998,3
CELC_MVLL,tacna,3,0.9995,3
CELC_MVLL,terrazas,3,0.9025,3
CELC_MVLL,vitarte,3,0.9662,3
CELC_MVLL,amalia,2,0.9255,2
CELC_MVLL,arenales,2,0.9995,2
CELC_MVLL,argentina,2,0.9998,2
CELC_MVLL,avenida bolivia,2,0.9999,2
CELC_MVLL,avenida españa,2,0.9999,2
CELC_MVLL,avenida pardo,2,0.999,2
CELC_MVLL,bagua,2,0.9997,2
CELC_MVLL,bajo el puente,2,0.9999,2
CELC_MVLL,benavides,2,0.9968,2
CELC_MVLL,bransa,2,0.738,2
CELC_MVLL,breña,2,0.984,2
CELC_MVLL,casa wiese,2,0.9999,2
CELC_MVLL,celendín,2,0.9999,1
CELC_MVLL,chosica,2,0.9966,2
CELC_MVLL,club cajamarca,2,0.9987,2
CELC_MVLL,clínica americana,2,0.995,2
CELC_MVLL,clínica delgado,2,0.9872,2
CELC_MVLL,colina,2,0.9828,2
CELC_MVLL,coliseo,2,0.9965,2
CELC_MVLL,colombia,2,0.9988,1
CELC_MVLL,costanera,2,0.9058,2
CELC_MVLL,ecuador,2,1.0,2
CELC_MVLL,el pingüino,2,0.6929,1
CELC_MVLL,embassy,2,0.9299,2
CELC_MVLL,espina,2,0.9998,2
CELC_MVLL,francia,2,0.9989,2
CELC_MVLL,francisco pizarro,2,0.9999,2
CELC_MVLL,general garzón,2,0.9998,2
CELC_MVLL,habana,2,0.9999,2
CELC_MVLL,haití,2,0.7576,2
CELC_MVLL,hospital de policía,2,0.9957,2
CELC_MVLL,hospital san josé,2,0.9998,2
CELC_MVLL,hotel mogollón,2,0.999,2
CELC_MVLL,huancayo,2,0.9998,2
CELC_MVLL,iglesia,2,0.8779,2
CELC_MVLL,ivonne,2,0.9498,2
CELC_MVLL,juliaca,2,0.9999,2
CELC_MVLL,la herradura,2,1.0,2
CELC_MVLL,los huérfanos,2,0.9532,2
CELC_MVLL,magdalena vieja,2,0.9999,2
CELC_MVLL,maury,2,0.9935,1
CELC_MVLL,mi patria,2,0.9907,2
CELC_MVLL,molina,2,0.9999,1
CELC_MVLL,montecarlo,2,0.9999,2
CELC_MVLL,moquegua,2,1.0,2
CELC_MVLL,morgue,2,0.7992,2
CELC_MVLL,negro-negro,2,0.9056,2
CELC_MVLL,norte,2,0.9997,2
CELC_MVLL,olave,2,0.6321,1
CELC_MVLL,parque de la exposición,2,0.9999,2
CELC_MVLL,parque necochea,2,0.9999,2
CELC_MVLL,parís,2,0.9999,1
CELC_MVLL,paseo de la república,2,0.9999,2
CELC_MVLL,pekín,2,1.0,2
CELC_MVLL,perla,2,0.9989,2
CELC_MVLL,punta,2,0.9898,2
CELC_MVLL,quebrada,2,0.9989,2
CELC_MVLL,quinta de los duendes,2,0.9945,2
CELC_MVLL,república,2,0.9823,2
CELC_MVLL,roma,2,0.974,2
CELC_MVLL,san isidro,2,0.9999,2
CELC_MVLL,unión,2,0.8297,2
CELC_MVLL,victoria,2,0.7315,2
CELC_MVLL,wilson,2,0.9998,2
CELC_MVLL,zela,2,0.9991,2
CELC_MVLL,abancay,1,0.9993,1
CELC_MVLL,aduana,1,0.923,1
CELC_MVLL,alameda ricardo palma,1,0.9998,1
CELC_MVLL,alemania,1,0.9999,1
CELC_MVLL,arispe,1,0.9956,1
CELC_MVLL,ataúdes limbou”,1,0.757,1
CELC_MVLL,avenida 28 de julio,1,0.9908,1
CELC_MVLL,avenida abancay,1,0.9997,1
CELC_MVLL,avenida angamos,1,0.6246,1
CELC_MVLL,avenida arenales,1,0.9999,1
CELC_MVLL,avenida iquitos,1,0.9998,1
CELC_MVLL,avenida larco,1,0.9952,1
CELC_MVLL,ayacucho,1,0.9991,1
CELC_MVLL,azul,1,0.3872,1
CELC_MVLL,babilonia,1,0.9999,1
