obra,personaje,grado_centralidad,intermediacion,cercania,grado,peso_total_relaciones
CELC_MVLL,Ambrosio Pardo,0.761,0.1122,3.861,156,1637
CELC_MVLL,Santiago Zavala,0.639,0.099,3.8188,131,1359
CELC_MVLL,Cayo Bermúdez,0.6585,0.0875,3.8262,135,1360
CELC_MVLL,Fermín Zavala,0.5073,0.0416,3.7434,104,977
CELC_MVLL,Carlitos,0.3561,0.0379,3.6376,73,551
CELC_MVLL,Amalia Landa,0.4293,0.0792,3.7124,88,727
CELC_MVLL,Chispas Zavala,0.2732,0.04,3.5974,56,455
CELC_MVLL,Teté Zavala,0.2732,0.0248,3.5975,56,470
CELC_MVLL,don,0.4439,0.0317,3.6611,91,726
CELC_MVLL,Ludovico,0.4098,0.0436,3.6776,84,704
CELC_MVLL,Queta,0.3268,0.0286,3.638,67,557
CELC_MVLL,Hipólito,0.3073,0.0117,3.5421,63,499
CELC_MVLL,Coronel Lozano,0.3463,0.0251,3.5321,71,467
CELC_MVLL,Presidente,0.3463,0.0253,3.537,71,462
CELC_MVLL,Hortensia,0.2683,0.0139,3.4853,55,383
CELC_MVLL,Popeye Arévalo,0.3268,0.022,3.5086,67,498
CELC_MVLL,Odría,0.3463,0.0352,3.5654,71,507
CELC_MVLL,Espina,0.3171,0.0235,3.4855,65,381
CELC_MVLL,Aída,0.1659,0.0102,3.4805,34,278
CELC_MVLL,Zoila,0.1854,0.014,3.4284,38,285
CELC_MVLL,Trifulcio,0.2634,0.0168,3.483,54,403
CELC_MVLL,Jacobo,0.1415,0.0087,3.3795,29,225
CELC_MVLL,Landa,0.3024,0.0179,3.3992,62,361
CELC_MVLL,Becerrita,0.161,0.013,3.3627,33,213
CELC_MVLL,Carlota,0.1805,0.0104,3.2661,37,218
CELC_MVLL,Ana,0.1707,0.0163,3.3347,35,168
CELC_MVLL,Trinidad,0.2146,0.0102,3.3273,44,225
CELC_MVLL,Ivonne,0.1707,0.0049,3.169,35,215
CELC_MVLL,Periquito,0.1415,0.0045,3.2717,29,182
CELC_MVLL,Símula,0.1659,0.0087,3.1608,34,178
CELC_MVLL,Paredes,0.2341,0.0159,3.2602,48,241
CELC_MVLL,Quetita,0.1268,0.0036,3.0842,26,140
CELC_MVLL,Alcibíades,0.1756,0.0011,3.1875,36,173
CELC_MVLL,General,0.2098,0.0035,3.201,43,234
CELC_MVLL,Serrano,0.2049,0.0148,3.1936,42,187
CELC_MVLL,Solórzano,0.1463,0.0079,3.1835,30,157
CELC_MVLL,Norwin,0.1268,0.0067,3.1672,26,124
CELC_MVLL,Molina,0.1659,0.0013,3.1445,34,202
CELC_MVLL,Héctor,0.1122,0.0034,3.1339,23,143
CELC_MVLL,Robertito,0.1171,0.0062,3.0048,24,125
CELC_MVLL,Amalita Hortensia,0.1171,0.0077,3.1361,24,113
CELC_MVLL,Arispe,0.1171,0.0054,3.093,24,125
CELC_MVLL,Téllez,0.1902,0.0123,3.1145,39,231
CELC_MVLL,Washington,0.122,0.0046,3.1002,25,139
CELC_MVLL,Musa,0.1561,0.0063,3.1236,32,156
CELC_MVLL,Zavala,0.2,0.0129,3.0699,41,169
CELC_MVLL,Gertrudis,0.1024,0.002,2.9462,21,106
CELC_MVLL,Don,0.1659,0.0143,3.0315,34,149
CELC_MVLL,Hilario,0.0976,0.0026,3.0446,20,104
CELC_MVLL,Arbeláez,0.161,0.0069,3.0178,33,144
