obra,entidad_canonica,frecuencia,score_promedio,bloques_distintos,densidad_narrativa
CELC_MVLL,Santiago Zavala,1154,0.9986,177,6.52
CELC_MVLL,Ambrosio Pardo,799,0.9993,198,4.04
CELC_MVLL,Cayo Bermúdez,664,0.959,149,4.46
CELC_MVLL,Amalia Landa,631,0.9928,96,6.57
CELC_MVLL,Queta,407,0.987,80,5.09
CELC_MVLL,Fermín Zavala,354,0.8453,104,3.4
CELC_MVLL,Ludovico,321,0.9992,71,4.52
CELC_MVLL,Carlitos,271,0.9982,72,3.76
CELC_MVLL,Chispas Zavala,234,0.9998,64,3.66
CELC_MVLL,Popeye Arévalo,213,0.9961,54,3.94
CELC_MVLL,Coronel Lozano,197,0.9902,46,4.28
CELC_MVLL,don,178,0.796,75,2.37
CELC_MVLL,Teté Zavala,176,0.9945,62,2.84
CELC_MVLL,Trifulcio,173,0.9971,35,4.94
CELC_MVLL,Aída,149,0.9996,37,4.03
CELC_MVLL,Becerrita,130,0.9999,27,4.81
CELC_MVLL,Ana,127,0.9983,26,4.88
CELC_MVLL,Hipólito,124,0.9992,47,2.64
CELC_MVLL,Espina,111,0.9988,40,2.78
CELC_MVLL,Jacobo,108,0.9998,29,3.72
CELC_MVLL,Hortensia,106,0.9779,51,2.08
CELC_MVLL,Landa,106,0.9885,32,3.31
CELC_MVLL,Odría,101,0.9887,55,1.84
CELC_MVLL,Presidente,100,0.983,45,2.22
CELC_MVLL,Paredes,93,0.9977,24,3.88
CELC_MVLL,Trinidad,91,0.997,28,3.25
CELC_MVLL,Washington,79,0.9991,17,4.65
CELC_MVLL,Carlota,77,0.9979,27,2.85
CELC_MVLL,Zoila,73,0.9045,37,1.97
CELC_MVLL,Ivonne,69,0.9666,28,2.46
CELC_MVLL,Molina,69,0.9996,17,4.06
CELC_MVLL,Periquito,66,0.9999,22,3.0
CELC_MVLL,Robertito,64,0.9997,20,3.2
CELC_MVLL,Gertrudis,57,0.9915,14,4.07
CELC_MVLL,Quetita,57,0.9985,22,2.59
CELC_MVLL,Alcibíades,52,0.9767,19,2.74
CELC_MVLL,Téllez,50,0.9997,18,2.78
CELC_MVLL,Símula,48,0.9997,22,2.18
CELC_MVLL,Héctor,47,0.9997,17,2.76
CELC_MVLL,Hilario,46,0.7879,14,3.29
CELC_MVLL,Norwin,46,0.9999,18,2.56
CELC_MVLL,Arispe,45,0.9998,16,2.81
CELC_MVLL,Solórzano,45,0.9999,19,2.37
CELC_MVLL,Teniente,41,0.9979,7,5.86
CELC_MVLL,Arbeláez,38,0.9563,14,2.71
CELC_MVLL,Llerena,38,0.9983,10,3.8
CELC_MVLL,Malvina,38,0.9993,9,4.22
CELC_MVLL,Serrano,38,0.9992,20,1.9
CELC_MVLL,Urondo,38,0.9999,14,2.71
CELC_MVLL,Musa,37,0.9853,20,1.85
CELC_MVLL,Martínez,36,0.9998,18,2.0
CELC_MVLL,Buitre,34,0.9988,7,4.86
CELC_MVLL,General,34,0.9161,20,1.7
CELC_MVLL,Emilio,32,0.8084,12,2.67
CELC_MVLL,tío Clodomiro,32,0.8312,9,3.56
CELC_MVLL,doña Lupe,30,0.8927,11,2.73
CELC_MVLL,Amalita Hortensia,29,0.9998,17,1.71
CELC_MVLL,Prefecto,28,0.9943,15,1.87
CELC_MVLL,Llaque,27,0.9999,11,2.45
CELC_MVLL,Clodomiro,26,0.8391,12,2.17
CELC_MVLL,Lama,26,0.8611,9,2.89
CELC_MVLL,Ministro,26,0.9382,15,1.73
CELC_MVLL,Rosa,26,0.9979,7,3.71
CELC_MVLL,Zavala,26,0.9993,19,1.37
CELC_MVLL,Ferro,25,0.971,10,2.5
CELC_MVLL,Rosario,25,0.803,12,2.08
CELC_MVLL,Batuque,23,0.9728,9,2.56
CELC_MVLL,Vallejo,23,0.998,9,2.56
CELC_MVLL,Cary,22,0.9997,9,2.44
CELC_MVLL,Emilio Arévalo,22,0.9885,12,1.83
CELC_MVLL,Lucía,22,0.9145,9,2.44
CELC_MVLL,Darío,21,0.9997,9,2.33
CELC_MVLL,Lucas,21,0.987,8,2.62
CELC_MVLL,don Hilario,21,0.8225,11,1.91
CELC_MVLL,Calancha,20,0.9942,4,5.0
