obra,personaje_1,personaje_2,peso
CELC_MVLL,Ambrosio Pardo,Santiago Zavala,104
CELC_MVLL,Ambrosio Pardo,Cayo Bermúdez,83
CELC_MVLL,Ambrosio Pardo,Fermín Zavala,76
CELC_MVLL,Carlitos,Santiago Zavala,72
CELC_MVLL,Amalia Landa,Ambrosio Pardo,70
CELC_MVLL,Fermín Zavala,Santiago Zavala,61
CELC_MVLL,Chispas Zavala,Santiago Zavala,60
CELC_MVLL,Santiago Zavala,Teté Zavala,60
CELC_MVLL,Ambrosio Pardo,don,59
CELC_MVLL,Fermín Zavala,don,58
CELC_MVLL,Ambrosio Pardo,Ludovico,54
CELC_MVLL,Cayo Bermúdez,Ludovico,54
CELC_MVLL,Cayo Bermúdez,Santiago Zavala,52
CELC_MVLL,Cayo Bermúdez,Fermín Zavala,50
CELC_MVLL,Chispas Zavala,Teté Zavala,48
CELC_MVLL,Ambrosio Pardo,Queta,47
CELC_MVLL,Hipólito,Ludovico,45
CELC_MVLL,Cayo Bermúdez,Coronel Lozano,42
CELC_MVLL,Cayo Bermúdez,Presidente,42
CELC_MVLL,Hortensia,Queta,42
CELC_MVLL,Cayo Bermúdez,Queta,41
CELC_MVLL,Cayo Bermúdez,don,40
CELC_MVLL,Santiago Zavala,don,40
CELC_MVLL,Popeye Arévalo,Santiago Zavala,39
CELC_MVLL,Ambrosio Pardo,Chispas Zavala,38
CELC_MVLL,Cayo Bermúdez,Hipólito,38
CELC_MVLL,Cayo Bermúdez,Odría,38
CELC_MVLL,Ambrosio Pardo,Teté Zavala,37
CELC_MVLL,Cayo Bermúdez,Espina,37
CELC_MVLL,Amalia Landa,Fermín Zavala,36
CELC_MVLL,Amalia Landa,Queta,36
CELC_MVLL,Ambrosio Pardo,Odría,36
CELC_MVLL,Aída,Santiago Zavala,36
CELC_MVLL,Amalia Landa,Santiago Zavala,35
CELC_MVLL,Ambrosio Pardo,Carlitos,35
CELC_MVLL,Ambrosio Pardo,Hipólito,33
CELC_MVLL,Chispas Zavala,Fermín Zavala,33
CELC_MVLL,Coronel Lozano,Ludovico,33
CELC_MVLL,Santiago Zavala,Zoila,33
CELC_MVLL,Cayo Bermúdez,Trifulcio,31
CELC_MVLL,Cayo Bermúdez,Hortensia,30
CELC_MVLL,Odría,Santiago Zavala,30
CELC_MVLL,Amalia Landa,Hortensia,29
CELC_MVLL,Aída,Jacobo,29
CELC_MVLL,Fermín Zavala,Teté Zavala,29
CELC_MVLL,Ambrosio Pardo,Popeye Arévalo,28
CELC_MVLL,Ambrosio Pardo,Trifulcio,28
CELC_MVLL,Cayo Bermúdez,Landa,28
CELC_MVLL,Coronel Lozano,Hipólito,28
CELC_MVLL,Jacobo,Santiago Zavala,28
CELC_MVLL,Popeye Arévalo,Teté Zavala,28
CELC_MVLL,Amalia Landa,Cayo Bermúdez,27
CELC_MVLL,Ambrosio Pardo,Aída,27
CELC_MVLL,Ambrosio Pardo,Hortensia,27
CELC_MVLL,Becerrita,Santiago Zavala,27
CELC_MVLL,Amalia Landa,Carlota,26
CELC_MVLL,Amalia Landa,don,26
CELC_MVLL,Ana,Santiago Zavala,26
CELC_MVLL,Chispas Zavala,Popeye Arévalo,26
CELC_MVLL,Teté Zavala,Zoila,26
CELC_MVLL,Amalia Landa,Trinidad,25
CELC_MVLL,Cayo Bermúdez,Popeye Arévalo,25
CELC_MVLL,Chispas Zavala,Zoila,25
CELC_MVLL,Fermín Zavala,Zoila,25
CELC_MVLL,Ambrosio Pardo,Coronel Lozano,24
CELC_MVLL,Ambrosio Pardo,Zoila,24
CELC_MVLL,Fermín Zavala,Ludovico,24
CELC_MVLL,Fermín Zavala,Popeye Arévalo,24
CELC_MVLL,Ludovico,Trifulcio,24
CELC_MVLL,Fermín Zavala,Odría,23
CELC_MVLL,Fermín Zavala,Queta,23
CELC_MVLL,Ivonne,Queta,23
CELC_MVLL,Ludovico,Odría,23
CELC_MVLL,Ambrosio Pardo,Presidente,22
CELC_MVLL,Ambrosio Pardo,Trinidad,22
CELC_MVLL,Becerrita,Carlitos,22
CELC_MVLL,Carlitos,Cayo Bermúdez,22
CELC_MVLL,Periquito,Santiago Zavala,22
CELC_MVLL,Queta,Santiago Zavala,22
CELC_MVLL,Amalia Landa,Símula,21
CELC_MVLL,Cayo Bermúdez,Paredes,21
CELC_MVLL,Chispas Zavala,don,21
CELC_MVLL,Amalia Landa,Ludovico,20
CELC_MVLL,Ambrosio Pardo,Espina,20
CELC_MVLL,Ambrosio Pardo,Jacobo,20
CELC_MVLL,Carlitos,Fermín Zavala,20
CELC_MVLL,Hipólito,Trifulcio,20
CELC_MVLL,Queta,Quetita,20
CELC_MVLL,Alcibíades,Cayo Bermúdez,19
CELC_MVLL,Cayo Bermúdez,General,19
CELC_MVLL,Cayo Bermúdez,Serrano,19
CELC_MVLL,Fermín Zavala,Hipólito,19
CELC_MVLL,Landa,Presidente,19
CELC_MVLL,Ludovico,Presidente,19
CELC_MVLL,Santiago Zavala,Solórzano,19
CELC_MVLL,Becerrita,Periquito,18
CELC_MVLL,Carlitos,Periquito,18
CELC_MVLL,Carlota,Símula,18
CELC_MVLL,Coronel Lozano,Presidente,18
CELC_MVLL,Fermín Zavala,Trifulcio,18
CELC_MVLL,Hipólito,Odría,18
CELC_MVLL,Ludovico,don,18
CELC_MVLL,Norwin,Santiago Zavala,18
CELC_MVLL,Teté Zavala,don,18
